time;V(Net-_R7-Pad2_);V(Net-_U1-+_);
0.0100016;0.00406852;0.000565611;
0.0100116;0.00628526;0.000848191;
0.0100216;0.00849353;0.00113004;
0.0100316;0.0106846;0.00141055;
0.0100416;0.0128499;0.00168909;
0.0100516;0.0149808;0.00196506;
0.0100616;0.0170689;0.00223786;
0.0100716;0.019106;0.00250691;
0.0100816;0.021084;0.00277162;
0.0100916;0.0229952;0.00303146;
0.0101016;0.0248319;0.00328587;
0.0101116;0.026587;0.00353436;
0.0101216;0.0282535;0.00377642;
0.0101316;0.0298248;0.00401159;
0.0101416;0.0312948;0.00423944;
0.0101516;0.0326576;0.00445956;
0.0101616;0.0339079;0.00467155;
0.0101716;0.0350406;0.00487509;
0.0101816;0.0360515;0.00506984;
0.0101916;0.0369364;0.00525553;
0.0102016;0.0376918;0.00543192;
0.0102116;0.0383149;0.00559879;
0.0102216;0.0388031;0.00575598;
0.0102316;0.0391544;0.00590335;
0.0102416;0.0393676;0.0060408;
0.0102516;0.0394418;0.00616828;
0.0102616;0.0393767;0.00628578;
0.0102716;0.0391724;0.0063933;
0.0102816;0.03883;0.00649091;
0.0102916;0.0383506;0.00657871;
0.0103016;0.0377362;0.00665684;
0.0103116;0.0369893;0.00672546;
0.0103216;0.0361127;0.0067848;
0.0103316;0.0351099;0.0068351;
0.0103416;0.0339849;0.00687663;
0.0103516;0.0327421;0.00690972;
0.0103616;0.0313864;0.00693472;
0.0103716;0.0299232;0.006952;
0.0103816;0.0283583;0.00696197;
0.0103916;0.0266978;0.00696508;
0.0104016;0.0249482;0.00696178;
0.0104116;0.0231166;0.00695257;
0.0104216;0.02121;0.00693796;
0.0104316;0.0192361;0.00691848;
0.0104416;0.0172026;0.00689467;
0.0104516;0.0151176;0.00686711;
0.0104616;0.0129892;0.00683638;
0.0104716;0.0108259;0.00680307;
0.0104816;0.00863624;0.00676777;
0.0104916;0.00642883;0.00673111;
0.0105016;0.00421238;0.00669369;
0.0105116;0.00199566;0.00665612;
0.0105216;-0.0002126;0.00661902;
0.0105316;-0.00240368;0.00658301;
0.0105416;-0.00456893;0.00654868;
0.0105516;-0.00669981;0.00651665;
0.0105616;-0.00878791;0.00648749;
0.0105716;-0.010825;0.00646178;
0.0105816;-0.012803;0.00644009;
0.0105916;-0.0147141;0.00642296;
0.0106016;-0.0165509;0.00641091;
0.0106116;-0.0183059;0.00640445;
0.0106216;-0.0199724;0.00640406;
0.0106316;-0.0215437;0.0064102;
0.0106416;-0.0230137;0.0064233;
0.0106516;-0.0243765;0.00644375;
0.0106616;-0.0256267;0.00647193;
0.0106716;-0.0267595;0.00650817;
