time;V(Net-_R1-Pad1_);V(Net-_R2-Pad2_);
0.0060003;0.000933689;0.286305;
0.0060013;0.00407524;0.223559;
0.0060023;0.00721662;0.160801;
0.0060033;0.0103577;0.0980344;
0.0060043;0.0134984;0.0352603;
0.0060053;0.0166386;-0.027519;
0.0060063;0.0197781;-0.0903013;
0.0060073;0.0229168;-0.153084;
0.0060083;0.0260546;-0.215865;
0.0060093;0.0291914;-0.278643;
0.0060103;0.0323271;-0.341413;
0.0060113;0.0354614;-0.404174;
0.0060123;0.0385944;-0.466923;
0.0060133;0.0417258;-0.529657;
0.0060143;0.0448556;-0.592374;
0.0060153;0.0479836;-0.65507;
0.0060163;0.0511097;-0.717742;
0.0060173;0.0542339;-0.780388;
0.0060183;0.0573558;-0.843004;
0.0060193;0.0604755;-0.905588;
0.0060203;0.0635928;-0.968137;
0.0060213;0.0667076;-1.03065;
0.0060223;0.0698198;-1.09312;
0.0060233;0.0729292;-1.15554;
0.0060243;0.0760358;-1.21792;
0.0060253;0.0791393;-1.28025;
0.0060263;0.0822397;-1.34252;
0.0060273;0.0853369;-1.40474;
0.0060283;0.0884307;-1.4669;
0.0060293;0.091521;-1.52901;
0.0060303;0.0946076;-1.59104;
0.0060313;0.0976906;-1.65302;
0.0060323;0.10077;-1.71492;
0.0060333;0.103845;-1.77675;
0.0060343;0.106916;-1.83851;
0.0060353;0.109983;-1.9002;
0.0060363;0.113045;-1.9618;
0.0060373;0.116103;-2.02332;
0.0060383;0.119156;-2.08476;
0.0060393;0.122205;-2.14612;
0.0060403;0.125249;-2.20738;
0.0060413;0.128288;-2.26856;
0.0060423;0.131322;-2.32964;
0.0060433;0.134351;-2.39063;
0.0060443;0.137374;-2.45152;
0.0060453;0.140392;-2.51231;
0.0060463;0.143404;-2.57299;
0.0060473;0.146411;-2.63357;
0.0060483;0.149412;-2.69405;
0.0060493;0.152407;-2.75441;
0.0060503;0.155396;-2.81466;
0.0060513;0.158379;-2.8748;
0.0060523;0.161356;-2.93482;
0.0060533;0.164326;-2.99472;
0.0060543;0.16729;-3.0545;
0.0060553;0.170247;-3.11416;
0.0060563;0.173198;-3.17369;
0.0060573;0.176141;-3.23309;
0.0060583;0.179078;-3.29236;
0.0060593;0.182008;-3.3515;
0.0060603;0.18493;-3.41051;
0.0060613;0.187845;-3.46937;
0.0060623;0.190753;-3.5281;
0.0060633;0.193653;-3.58668;
0.0060643;0.196546;-3.64512;
0.0060653;0.19943;-3.70342;
0.0060663;0.202307;-3.76156;
0.0060673;0.205176;-3.81956;
0.0060683;0.208037;-3.8774;
0.0060693;0.21089;-3.93508;
0.0060703;0.213734;-3.99261;
0.0060713;0.21657;-4.04997;
0.0060723;0.219397;-4.10718;
0.0060733;0.222216;-4.16422;
0.0060743;0.225026;-4.22109;
0.0060753;0.227827;-4.27779;
0.0060763;0.230619;-4.33433;
0.0060773;0.233402;-4.39069;
0.0060783;0.236175;-4.44687;
0.0060793;0.23894;-4.50287;
0.0060803;0.241695;-4.5587;
0.0060813;0.24444;-4.61434;
