time;V(Net-_R2-Pad1_);V(Net-_U1-+_);
0.00600098;-0.274516;0.00123134;
0.00600198;-0.224371;0.00248792;
0.00600298;-0.174214;0.0037444;
0.00600398;-0.124047;0.00500074;
0.00600498;-0.0738712;0.00625687;
0.00600598;-0.0236895;0.00751277;
0.00600698;0.0264964;0.00876836;
0.00600798;0.0766846;0.0100236;
0.00600898;0.126873;0.0112785;
0.00600998;0.17706;0.0125329;
0.00601098;0.227243;0.0137868;
0.00601198;0.27742;0.0150401;
0.00601298;0.32759;0.0162929;
0.00601398;0.37775;0.017545;
0.00601498;0.427899;0.0187965;
0.00601598;0.478034;0.0200472;
0.00601698;0.528154;0.0212971;
0.00601798;0.578256;0.0225461;
0.00601898;0.628338;0.0237943;
0.00601998;0.678399;0.0250416;
0.00602098;0.728437;0.0262878;
0.00602198;0.778449;0.027533;
0.00602298;0.828433;0.0287771;
0.00602398;0.878388;0.0300201;
0.00602498;0.928312;0.0312619;
0.00602598;0.978202;0.0325025;
0.00602698;1.02806;0.0337418;
0.00602798;1.07787;0.0349797;
0.00602898;1.12765;0.0362163;
0.00602998;1.17739;0.0374514;
0.00603098;1.22708;0.0386851;
0.00603198;1.27673;0.0399172;
0.00603298;1.32633;0.0411478;
0.00603398;1.37588;0.0423767;
0.00603498;1.42538;0.043604;
0.00603598;1.47483;0.0448295;
0.00603698;1.52422;0.0460533;
0.00603798;1.57355;0.0472752;
0.00603898;1.62283;0.0484953;
0.00603998;1.67204;0.0497135;
0.00604098;1.72119;0.0509297;
0.00604198;1.77028;0.0521439;
0.00604298;1.81929;0.053356;
0.00604398;1.86824;0.0545661;
0.00604498;1.91712;0.0557739;
0.00604598;1.96593;0.0569796;
0.00604698;2.01466;0.058183;
0.00604798;2.06331;0.0593842;
0.00604898;2.11188;0.060583;
0.00604998;2.16038;0.0617793;
0.00605098;2.20879;0.0629733;
0.00605198;2.25712;0.0641648;
0.00605298;2.30536;0.0653537;
0.00605398;2.35351;0.0665401;
0.00605498;2.40157;0.0677238;
0.00605598;2.44954;0.0689048;
0.00605698;2.49741;0.0700832;
0.00605798;2.54519;0.0712587;
0.00605898;2.59287;0.0724315;
0.00605998;2.64046;0.0736014;
0.00606098;2.68794;0.0747684;
0.00606198;2.73531;0.0759324;
0.00606298;2.78258;0.0770935;
0.00606398;2.82975;0.0782515;
0.00606498;2.8768;0.0794064;
0.00606598;2.92374;0.0805581;
0.00606698;2.97057;0.0817067;
0.00606798;3.01729;0.0828521;
0.00606898;3.06389;0.0839942;
0.00606998;3.11037;0.085133;
0.00607098;3.15673;0.0862684;
0.00607198;3.20297;0.0874004;
0.00607298;3.24908;0.088529;
0.00607398;3.29507;0.089654;
0.00607498;3.34093;0.0907756;
0.00607598;3.38666;0.0918935;
0.00607698;3.43226;0.0930078;
0.00607798;3.47773;0.0941185;
0.00607898;3.52307;0.0952254;
0.00607998;3.56826;0.0963286;
0.00608098;3.61332;0.0974279;
0.00608198;3.65824;0.0985235;
0.00608298;3.70301;0.0996151;
0.00608398;3.74765;0.100703;
0.00608498;3.79214;0.101787;
0.00608598;3.83648;0.102866;
0.00608698;3.88067;0.103942;
0.00608798;3.92471;0.105013;
0.00608898;3.9686;0.106081;
0.00608998;4.01233;0.107144;
0.00609098;4.05591;0.108203;
0.00609198;4.09933;0.109258;
0.00609298;4.1426;0.110308;
0.00609398;4.1857;0.111354;
0.00609498;4.22864;0.112396;
0.00609598;4.27141;0.113433;
0.00609698;4.31402;0.114466;
0.00609798;4.35646;0.115494;
0.00609898;4.39874;0.116518;
0.00609998;4.44084;0.117537;
0.00610098;4.48277;0.118551;
0.00610198;4.52452;0.119561;
0.00610298;4.5661;0.120566;
0.00610398;4.6075;0.121566;
0.00610498;4.64873;0.122561;
0.00610598;4.68977;0.123552;
0.00610698;4.73063;0.124538;
0.00610798;4.77131;0.125519;
0.00610898;4.8118;0.126494;
0.00610998;4.8521;0.127465;
0.00611098;4.89222;0.128431;
0.00611198;4.93214;0.129392;
0.00611298;4.97187;0.130348;
0.00611398;5.01141;0.131298;
0.00611498;5.05076;0.132243;
0.00611598;5.08991;0.133184;
0.00611698;5.12886;0.134118;
0.00611798;5.16761;0.135048;
0.00611898;5.20616;0.135972;
0.00611998;5.24451;0.136891;
0.00612098;5.28265;0.137804;
0.00612198;5.32059;0.138712;
0.00612298;5.35832;0.139615;
0.00612398;5.39585;0.140512;
0.00612498;5.43316;0.141403;
0.00612598;5.47026;0.142289;
0.00612698;5.50715;0.14317;
0.00612798;5.54383;0.144044;
0.00612898;5.58029;0.144913;
0.00612998;5.61653;0.145776;
0.00613098;5.65255;0.146634;
0.00613198;5.68836;0.147486;
0.00613298;5.72394;0.148331;
0.00613398;5.7593;0.149171;
0.00613498;5.79444;0.150005;
0.00613598;5.82935;0.150834;
0.00613698;5.86403;0.151656;
0.00613798;5.89849;0.152472;
0.00613898;5.93271;0.153282;
0.00613998;5.96671;0.154087;
0.00614098;6.00047;0.154885;
0.00614198;6.034;0.155677;
0.00614298;6.06729;0.156462;
0.00614398;6.10035;0.157242;
0.00614498;6.13317;0.158016;
0.00614598;6.16576;0.158783;
0.00614698;6.1981;0.159544;
0.00614798;6.2302;0.160298;
0.00614898;6.26206;0.161047;
0.00614998;6.29367;0.161789;
0.00615098;6.32504;0.162524;
0.00615198;6.35617;0.163253;
0.00615298;6.38704;0.163976;
0.00615398;6.41767;0.164692;
0.00615498;6.44805;0.165402;
0.00615598;6.47817;0.166105;
0.00615698;6.50805;0.166802;
0.00615798;6.53767;0.167492;
0.00615898;6.56704;0.168175;
0.00615998;6.59615;0.168852;
0.00616098;6.625;0.169522;
0.00616198;6.6536;0.170186;
0.00616298;6.68193;0.170842;
0.00616398;6.71001;0.171492;
0.00616498;6.73782;0.172136;
0.00616598;6.76538;0.172772;
0.00616698;6.79267;0.173402;
0.00616798;6.81969;0.174024;
0.00616898;6.84645;0.17464;
0.00616998;6.87294;0.175249;
0.00617098;6.89917;0.175851;
0.00617198;6.92512;0.176446;
0.00617298;6.95081;0.177034;
0.00617398;6.97623;0.177616;
0.00617498;7.00137;0.17819;
0.00617598;7.02624;0.178757;
0.00617698;7.05084;0.179317;
0.00617798;7.07516;0.17987;
0.00617898;7.09921;0.180416;
0.00617998;7.12298;0.180955;
0.00618098;7.14647;0.181486;
0.00618198;7.16969;0.182011;
0.00618298;7.19262;0.182528;
0.00618398;7.21528;0.183038;
0.00618498;7.23765;0.183541;
0.00618598;7.25974;0.184036;
0.00618698;7.28155;0.184525;
0.00618798;7.30308;0.185006;
0.00618898;7.32432;0.18548;
0.00618998;7.34527;0.185946;
0.00619098;7.36594;0.186405;
0.00619198;7.38632;0.186857;
0.00619298;7.40642;0.187301;
0.00619398;7.42622;0.187738;
0.00619498;7.44574;0.188168;
0.00619598;7.46496;0.18859;
0.00619698;7.4839;0.189004;
0.00619798;7.50254;0.189412;
0.00619898;7.52089;0.189811;
0.00619998;7.53895;0.190203;
0.00620098;7.55671;0.190588;
0.00620198;7.57418;0.190965;
0.00620298;7.59135;0.191335;
0.00620398;7.60823;0.191697;
0.00620498;7.62481;0.192052;
0.00620598;7.64109;0.192399;
0.00620698;7.65708;0.192738;
0.00620798;7.67276;0.19307;
0.00620898;7.68815;0.193394;
0.00620998;7.70324;0.19371;
0.00621098;7.71802;0.194019;
0.00621198;7.73251;0.19432;
0.00621298;7.7467;0.194614;
0.00621398;7.76058;0.1949;
0.00621498;7.77416;0.195178;
0.00621598;7.78743;0.195448;
0.00621698;7.80041;0.195711;
0.00621798;7.81307;0.195966;
0.00621898;7.82544;0.196213;
0.00621998;7.8375;0.196453;
0.00622098;7.84925;0.196684;
0.00622198;7.86069;0.196908;
0.00622298;7.87183;0.197125;
0.00622398;7.88267;0.197333;
0.00622498;7.89319;0.197534;
0.00622598;7.90341;0.197727;
0.00622698;7.91331;0.197912;
0.00622798;7.92291;0.198089;
0.00622898;7.9322;0.198258;
0.00622998;7.94118;0.19842;
0.00623098;7.94985;0.198574;
0.00623198;7.95821;0.198719;
0.00623298;7.96626;0.198857;
0.00623398;7.974;0.198988;
0.00623498;7.98143;0.19911;
0.00623598;7.98854;0.199224;
0.00623698;7.99535;0.199331;
0.00623798;8.00184;0.19943;
0.00623898;8.00802;0.199521;
0.00623998;8.01389;0.199604;
0.00624098;8.01944;0.199679;
0.00624198;8.02468;0.199746;
0.00624298;8.02961;0.199805;
0.00624398;8.03422;0.199857;
0.00624498;8.03852;0.199901;
0.00624598;8.0425;0.199936;
0.00624698;8.04618;0.199964;
0.00624798;8.04953;0.199984;
0.00624898;8.05258;0.199996;
0.00624998;8.0553;0.2;
0.00625098;8.05772;0.199996;
0.00625198;8.05982;0.199985;
0.00625298;8.0616;0.199965;
0.00625398;8.06307;0.199937;
0.00625498;8.06422;0.199902;
0.00625598;8.06506;0.199859;
0.00625698;8.06558;0.199808;
0.00625798;8.06579;0.199749;
0.00625898;8.06569;0.199682;
0.00625998;8.06526;0.199607;
0.00626098;8.06453;0.199524;
0.00626198;8.06347;0.199434;
0.00626298;8.06211;0.199335;
0.00626398;8.06042;0.199229;
0.00626498;8.05843;0.199115;
0.00626598;8.05611;0.198993;
0.00626698;8.05348;0.198863;
0.00626798;8.05054;0.198725;
0.00626898;8.04728;0.19858;
0.00626998;8.04371;0.198426;
0.00627098;8.03983;0.198265;
0.00627198;8.03563;0.198096;
0.00627298;8.03111;0.197919;
0.00627398;8.02628;0.197734;
0.00627498;8.02114;0.197542;
0.00627598;8.01568;0.197341;
0.00627698;8.00991;0.197133;
0.00627798;8.00383;0.196917;
0.00627898;7.99743;0.196694;
0.00627998;7.99072;0.196462;
0.00628098;7.9837;0.196223;
0.00628198;7.97637;0.195976;
0.00628298;7.96872;0.195721;
0.00628398;7.96076;0.195459;
0.00628498;7.9525;0.195189;
0.00628598;7.94392;0.194911;
0.00628698;7.93502;0.194626;
0.00628798;7.92582;0.194332;
0.00628898;7.91631;0.194031;
0.00628998;7.90649;0.193723;
0.00629098;7.89636;0.193407;
0.00629198;7.88592;0.193083;
0.00629298;7.87517;0.192751;
0.00629398;7.86412;0.192412;
0.00629498;7.85275;0.192066;
0.00629598;7.84108;0.191712;
0.00629698;7.82911;0.19135;
0.00629798;7.81682;0.19098;
0.00629898;7.80423;0.190604;
0.00629998;7.79134;0.190219;
0.00630098;7.77814;0.189827;
0.00630198;7.76463;0.189428;
0.00630298;7.75082;0.189021;
0.00630398;7.73671;0.188607;
0.00630498;7.7223;0.188185;
0.00630598;7.70758;0.187755;
0.00630698;7.69256;0.187319;
0.00630798;7.67724;0.186875;
0.00630898;7.66162;0.186423;
0.00630998;7.6457;0.185965;
0.00631098;7.62948;0.185498;
0.00631198;7.61297;0.185025;
0.00631298;7.59615;0.184544;
0.00631398;7.57904;0.184056;
0.00631498;7.56163;0.183561;
0.00631598;7.54392;0.183058;
0.00631698;7.52592;0.182549;
0.00631798;7.50763;0.182032;
0.00631898;7.48904;0.181508;
0.00631998;7.47016;0.180976;
0.00632098;7.45098;0.180438;
0.00632198;7.43152;0.179892;
0.00632298;7.41176;0.179339;
0.00632398;7.39171;0.17878;
0.00632498;7.37138;0.178213;
0.00632598;7.35075;0.177639;
0.00632698;7.32984;0.177058;
0.00632798;7.30864;0.17647;
0.00632898;7.28715;0.175875;
0.00632998;7.26538;0.175274;
0.00633098;7.24333;0.174665;
0.00633198;7.22099;0.174049;
0.00633298;7.19837;0.173427;
0.00633398;7.17547;0.172797;
0.00633498;7.15228;0.172161;
0.00633598;7.12882;0.171518;
0.00633698;7.10508;0.170869;
0.00633798;7.08106;0.170212;
0.00633898;7.05676;0.169549;
0.00633998;7.03219;0.168879;
0.00634098;7.00734;0.168203;
0.00634198;6.98222;0.167519;
0.00634298;6.95682;0.16683;
0.00634398;6.93115;0.166133;
0.00634498;6.90521;0.16543;
0.00634598;6.879;0.164721;
0.00634698;6.85253;0.164005;
0.00634798;6.82578;0.163282;
0.00634898;6.79877;0.162554;
0.00634998;6.77149;0.161818;
0.00635098;6.74394;0.161077;
0.00635198;6.71614;0.160329;
0.00635298;6.68807;0.159574;
0.00635398;6.65973;0.158813;
0.00635498;6.63114;0.158047;
0.00635598;6.60229;0.157273;
0.00635698;6.57318;0.156494;
0.00635798;6.54381;0.155708;
0.00635898;6.51419;0.154917;
0.00635998;6.48431;0.154119;
0.00636098;6.45418;0.153315;
0.00636198;6.4238;0.152505;
0.00636298;6.39317;0.151689;
0.00636398;6.36228;0.150867;
0.00636498;6.33115;0.150039;
0.00636598;6.29977;0.149205;
0.00636698;6.26814;0.148365;
0.00636798;6.23627;0.14752;
0.00636898;6.20416;0.146668;
0.00636998;6.1718;0.145811;
0.00637098;6.1392;0.144948;
0.00637198;6.10637;0.144079;
0.00637298;6.07329;0.143205;
0.00637398;6.03998;0.142325;
0.00637498;6.00643;0.141439;
0.00637598;5.97265;0.140548;
0.00637698;5.93863;0.139651;
0.00637798;5.90438;0.138749;
0.00637898;5.8699;0.137841;
0.00637998;5.83519;0.136928;
0.00638098;5.80026;0.136009;
0.00638198;5.7651;0.135085;
0.00638298;5.72971;0.134156;
0.00638398;5.6941;0.133221;
0.00638498;5.65827;0.132281;
0.00638598;5.62221;0.131336;
0.00638698;5.58594;0.130386;
0.00638798;5.54945;0.12943;
0.00638898;5.51275;0.12847;
0.00638998;5.47583;0.127504;
0.00639098;5.43869;0.126534;
0.00639198;5.40135;0.125558;
0.00639298;5.36379;0.124577;
0.00639398;5.32602;0.123592;
0.00639498;5.28805;0.122601;
0.00639598;5.24987;0.121606;
0.00639698;5.21149;0.120606;
0.00639798;5.1729;0.119601;
0.00639898;5.13411;0.118592;
0.00639998;5.09513;0.117578;
0.00640098;5.05594;0.116559;
0.00640198;5.01656;0.115535;
0.00640298;4.97698;0.114507;
0.00640398;4.93721;0.113475;
0.00640498;4.89725;0.112438;
0.00640598;4.8571;0.111396;
0.00640698;4.81676;0.11035;
0.00640798;4.77623;0.1093;
0.00640898;4.73551;0.108246;
0.00640998;4.69461;0.107187;
0.00641098;4.65353;0.106124;
0.00641198;4.61227;0.105056;
0.00641298;4.57083;0.103985;
0.00641398;4.52921;0.10291;
0.00641498;4.48742;0.10183;
0.00641598;4.44545;0.100746;
0.00641698;4.40331;0.0996589;
0.00641798;4.361;0.0985675;
0.00641898;4.31852;0.0974721;
0.00641998;4.27588;0.0963729;
0.00642098;4.23306;0.0952699;
0.00642198;4.19009;0.0941631;
0.00642298;4.14695;0.0930526;
0.00642398;4.10365;0.0919384;
0.00642498;4.06019;0.0908206;
0.00642598;4.01658;0.0896992;
0.00642698;3.97281;0.0885743;
0.00642798;3.92889;0.0874459;
0.00642898;3.88481;0.086314;
0.00642998;3.84059;0.0851787;
0.00643098;3.79621;0.0840401;
0.00643198;3.75169;0.0828981;
0.00643298;3.70703;0.0817529;
0.00643398;3.66222;0.0806044;
0.00643498;3.61727;0.0794528;
0.00643598;3.57218;0.078298;
0.00643698;3.52696;0.0771401;
0.00643798;3.48159;0.0759792;
0.00643898;3.4361;0.0748153;
0.00643998;3.39047;0.0736484;
0.00644098;3.34471;0.0724786;
0.00644198;3.29883;0.071306;
0.00644298;3.25281;0.0701305;
0.00644398;3.20667;0.0689523;
0.00644498;3.16041;0.0677714;
0.00644598;3.11403;0.0665878;
0.00644698;3.06753;0.0654015;
0.00644798;3.02091;0.0642127;
0.00644898;2.97417;0.0630213;
0.00644998;2.92732;0.0618274;
